INFO  - 2014-12-11 21:19:24.092; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-12-11 21:19:24.122; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor D:\Desktop\solr-4.10.1\example\contexts at interval 0
INFO  - 2014-12-11 21:19:24.127; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: D:\Desktop\solr-4.10.1\example\contexts\solr-jetty-context.xml
INFO  - 2014-12-11 21:19:24.165; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/D:/Desktop/solr-4.10.1/example/webapps/solr.war!/ to D:\Desktop\solr-4.10.1\example\solr-webapp\webapp
INFO  - 2014-12-11 21:19:25.702; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-12-11 21:19:25.781; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-12-11 21:19:25.805; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-12-11 21:19:25.806; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-12-11 21:19:25.807; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-12-11 21:19:25.990; org.apache.solr.core.ConfigSolr; Loading container configuration from D:\Desktop\solr-4.10.1\example\solr\solr.xml
INFO  - 2014-12-11 21:19:26.284; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: D:\Desktop\solr-4.10.1\example\solr
INFO  - 2014-12-11 21:19:26.293; org.apache.solr.core.CoreContainer; New CoreContainer 207841178
INFO  - 2014-12-11 21:19:26.294; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-12-11 21:19:26.309; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-12-11 21:19:26.310; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-12-11 21:19:26.316; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-12-11 21:19:26.318; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-12-11 21:19:26.319; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-12-11 21:19:26.320; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-12-11 21:19:26.321; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-12-11 21:19:26.321; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-12-11 21:19:26.322; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-12-11 21:19:26.773; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-12-11 21:19:26.775; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-12-11 21:19:26.776; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-12-11 21:19:26.778; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-12-11 21:19:27.190; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath D:\Desktop\solr-4.10.1\example\solr
INFO  - 2014-12-11 21:19:27.206; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in D:\Desktop\solr-4.10.1\example\solr\collection1\
INFO  - 2014-12-11 21:19:27.208; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-12-11 21:19:27.214; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'D:\Desktop\solr-4.10.1\example\solr\collection1\'
INFO  - 2014-12-11 21:19:27.315; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-12-11 21:19:27.318; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-12-11 21:19:27.319; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-12-11 21:19:27.320; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-12-11 21:19:27.321; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-12-11 21:19:27.321; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-12-11 21:19:27.322; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-12-11 21:19:27.323; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-12-11 21:19:27.324; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
